0002,0000;UL;File Meta Information Group Length;false
0002,0001;OB;File Meta Information Version;false
0002,0002;UI;Media Storage SOP Class UID;false
0002,0003;UI;Media Storage SOP Instance UID;false
0002,0010;UI;Transfer Syntax UID;false
0002,0012;UI;Implementation Class UID;false
0002,0013;SH;Implementation Version Name;false
0002,0016;AE;Source Application Entity Title;false
0002,0017;AE;Sending Application Entity Title;false
0002,0018;AE;Receiving Application Entity Title;false
0002,0100;UI;Private Information Creator UID;false
0002,0102;OB;Private Information;false
0004,1130;CS;File-set ID;false
0004,1141;CS;File-set Descriptor File ID;false
0004,1142;CS;Specific Character Set of File-set Descriptor File;false
0004,1200;UL;Offset of the First Directory Record of the Root Directory Entity;false
0004,1202;UL;Offset of the Last Directory Record of the Root Directory Entity;false
0004,1212;US;File-set Consistency Flag;false
0004,1220;SQ;Directory Record Sequence;false
0004,1400;UL;Offset of the Next Directory Record;false
0004,1410;US;Record In-use Flag;false
0004,1420;UL;Offset of Referenced Lower-Level Directory Entity;false
0004,1430;CS;Directory Record Type;false
0004,1432;UI;Private Record UID;false
0004,1500;CS;Referenced File ID;false
0004,1504;UL;MRDR Directory Record Offset;true
0004,1510;UI;Referenced SOP Class UID in File;false
0004,1511;UI;Referenced SOP Instance UID in File;false
0004,1512;UI;Referenced Transfer Syntax UID in File;false
0004,151A;UI;Referenced Related General SOP Class UID in File;false
0004,1600;UL;Number of References;true
0008,0001;UL;Length to End;true
0008,0005;CS;Specific Character Set;false
0008,0006;SQ;Language Code Sequence;false
0008,0008;CS;Image Type;false
0008,0010;SH;Recognition Code;true
0008,0012;DA;Instance Creation Date;false
0008,0013;TM;Instance Creation Time;false
0008,0014;UI;Instance Creator UID;false
0008,0015;DT;Instance Coercion DateTime;false
0008,0016;UI;SOP Class UID;false
0008,0018;UI;SOP Instance UID;false
0008,001A;UI;Related General SOP Class UID;false
0008,001B;UI;Original Specialized SOP Class UID;false
0008,0020;DA;Study Date;false
0008,0021;DA;Series Date;false
0008,0022;DA;Acquisition Date;false
0008,0023;DA;Content Date;false
0008,0024;DA;Overlay Date;true
0008,0025;DA;Curve Date;true
0008,002A;DT;Acquisition DateTime;false
0008,0030;TM;Study Time;false
0008,0031;TM;Series Time;false
0008,0032;TM;Acquisition Time;false
0008,0033;TM;Content Time;false
0008,0034;TM;Overlay Time;true
0008,0035;TM;Curve Time;true
0008,0040;US;Data Set Type;true
0008,0041;LO;Data Set Subtype;true
0008,0042;CS;Nuclear Medicine Series Type;true
0008,0050;SH;Accession Number;false
0008,0051;SQ;Issuer of Accession Number Sequence;false
0008,0052;CS;Query/Retrieve Level;false
0008,0053;CS;Query/Retrieve View;false
0008,0054;AE;Retrieve AE Title;false
0008,0055;AE;Station  AE Title;false
0008,0056;CS;Instance Availability;false
0008,0058;UI;Failed SOP Instance UID List;false
0008,0060;CS;Modality;false
0008,0061;CS;Modalities in Study;false
0008,0062;UI;SOP Classes in Study;false
0008,0064;CS;Conversion Type;false
0008,0068;CS;Presentation Intent Type;false
0008,0070;LO;Manufacturer;false
0008,0080;LO;Institution Name;false
0008,0081;ST;Institution Address;false
0008,0082;SQ;Institution Code Sequence;false
0008,0090;PN;Referring Physician's Name;false
0008,0092;ST;Referring Physician's Address;false
0008,0094;SH;Referring Physician's Telephone Numbers;false
0008,0096;SQ;Referring Physician Identification Sequence;false
0008,009C;PN;Consulting Physician's Name;false
0008,009D;SQ;Consulting Physician Identification Sequence;false
0008,0100;SH;Code Value;false
0008,0101;LO;Extended Code Value;false
0008,0102;SH;Coding Scheme Designator;false
0008,0103;SH;Coding Scheme Version;false
0008,0104;LO;Code Meaning;false
0008,0105;CS;Mapping Resource;false
0008,0106;DT;Context Group Version;false
0008,0107;DT;Context Group Local Version;false
0008,0108;LT;Extended Code Meaning;false
0008,010B;CS;Context Group Extension Flag;false
0008,010C;UI;Coding Scheme UID;false
0008,010D;UI;Context Group Extension Creator UID;false
0008,010F;CS;Context Identifier;false
0008,0110;SQ;Coding Scheme Identification Sequence;false
0008,0112;LO;Coding Scheme Registry;false
0008,0114;ST;Coding Scheme External ID;false
0008,0115;ST;Coding Scheme Name;false
0008,0116;ST;Coding Scheme Responsible Organization;false
0008,0117;UI;Context UID;false
0008,0118;UI;Mapping Resource UID;false
0008,0119;UC;Long Code Value;false
0008,0120;UR;URN Code Value;false
0008,0121;SQ;Equivalent Code Sequence;false
0008,0122;LO;Mapping Resource Name;false
0008,0123;SQ;Context Group Identification Sequence;false
0008,0124;SQ;Mapping Resource Identification Sequence;false
0008,0201;SH;Timezone Offset From UTC;false
0008,0300;SQ;Private Data Element Characteristics Sequence;false
0008,0301;US;Private Group Reference;false
0008,0302;LO;Private Creator Reference;false
0008,0303;CS;Block Identifying Information Status;false
0008,0304;US;Nonidentifying Private Elements;false
0008,0306;US;Identifying Private Elements;false
0008,0305;SQ;Deidentification Action Sequence;false
0008,0307;CS;Deidentification Action;false
0008,1000;AE;Network ID;true
0008,1010;SH;Station Name;false
0008,1030;LO;Study Description;false
0008,1032;SQ;Procedure Code Sequence;false
0008,103E;LO;Series Description;false
0008,103F;SQ;Series Description Code Sequence;false
0008,1040;LO;Institutional Department Name;false
0008,1048;PN;Physician(s) of Record;false
0008,1049;SQ;Physician(s) of Record Identification Sequence;false
0008,1050;PN;Performing Physician's Name;false
0008,1052;SQ;Performing Physician Identification Sequence;false
0008,1060;PN;Name of Physician(s) Reading Study;false
0008,1062;SQ;Physician(s) Reading Study Identification Sequence;false
0008,1070;PN;Operators' Name;false
0008,1072;SQ;Operator Identification Sequence;false
0008,1080;LO;Admitting Diagnoses Description;false
0008,1084;SQ;Admitting Diagnoses Code Sequence;false
0008,1090;LO;Manufacturer's Model Name;false
0008,1100;SQ;Referenced Results Sequence;true
0008,1110;SQ;Referenced Study Sequence;false
0008,1111;SQ;Referenced Performed Procedure Step Sequence;false
0008,1115;SQ;Referenced Series Sequence;false
0008,1120;SQ;Referenced Patient Sequence;false
0008,1125;SQ;Referenced Visit Sequence;false
0008,1130;SQ;Referenced Overlay Sequence;true
0008,1134;SQ;Referenced Stereometric Instance Sequence;false
0008,113A;SQ;Referenced Waveform Sequence;false
0008,1140;SQ;Referenced Image Sequence;false
0008,1145;SQ;Referenced Curve Sequence;true
0008,114A;SQ;Referenced Instance Sequence;false
0008,114B;SQ;Referenced Real World Value Mapping Instance Sequence;false
0008,1150;UI;Referenced SOP Class UID;false
0008,1155;UI;Referenced SOP Instance UID;false
0008,115A;UI;SOP Classes Supported;false
0008,1160;IS;Referenced Frame Number;false
0008,1161;UL;Simple Frame List;false
0008,1162;UL;Calculated Frame List;false
0008,1163;FD;Time Range;false
0008,1164;SQ;Frame Extraction Sequence;false
0008,1167;UI;Multi-frame Source SOP Instance UID;false
0008,1190;UR;Retrieve URL;false
0008,1195;UI;Transaction UID;false
0008,1196;US;Warning Reason;false
0008,1197;US;Failure Reason;false
0008,1198;SQ;Failed SOP Sequence;false
0008,1199;SQ;Referenced SOP Sequence;false
0008,119A;SQ;Other Failures Sequence;false
0008,1200;SQ;Studies Containing Other Referenced Instances Sequence;false
0008,1250;SQ;Related Series Sequence;false
0008,2110;CS;Lossy Image Compression (Retired);true
0008,2111;ST;Derivation Description;false
0008,2112;SQ;Source Image Sequence;false
0008,2120;SH;Stage Name;false
0008,2122;IS;Stage Number;false
0008,2124;IS;Number of Stages;false
0008,2127;SH;View Name;false
0008,2128;IS;View Number;false
0008,2129;IS;Number of Event Timers;false
0008,212A;IS;Number of Views in Stage;false
0008,2130;DS;Event Elapsed Time(s);false
0008,2132;LO;Event Timer Name(s);false
0008,2133;SQ;Event Timer Sequence;false
0008,2134;FD;Event Time Offset;false
0008,2135;SQ;Event Code Sequence;false
0008,2142;IS;Start Trim;false
0008,2143;IS;Stop Trim;false
0008,2144;IS;Recommended Display Frame Rate;false
0008,2200;CS;Transducer Position;true
0008,2204;CS;Transducer Orientation;true
0008,2208;CS;Anatomic Structure;true
0008,2218;SQ;Anatomic Region Sequence;false
0008,2220;SQ;Anatomic Region Modifier Sequence;false
0008,2228;SQ;Primary Anatomic Structure Sequence;false
0008,2229;SQ;Anatomic Structure, Space or Region Sequence;false
0008,2230;SQ;Primary Anatomic Structure Modifier Sequence;false
0008,2240;SQ;Transducer Position Sequence;true
0008,2242;SQ;Transducer Position Modifier Sequence;true
0008,2244;SQ;Transducer Orientation Sequence;true
0008,2246;SQ;Transducer Orientation Modifier Sequence;true
0008,2251;SQ;Anatomic Structure Space Or Region Code Sequence (Trial);true
0008,2253;SQ;Anatomic Portal Of Entrance Code Sequence (Trial);true
0008,2255;SQ;Anatomic Approach Direction Code Sequence (Trial);true
0008,2256;ST;Anatomic Perspective Description (Trial);true
0008,2257;SQ;Anatomic Perspective Code Sequence (Trial);true
0008,2258;ST;Anatomic Location Of Examining Instrument Description (Trial);true
0008,2259;SQ;Anatomic Location Of Examining Instrument Code Sequence (Trial);true
0008,225A;SQ;Anatomic Structure Space Or Region Modifier Code Sequence (Trial);true
0008,225C;SQ;On Axis Background Anatomic Structure Code Sequence (Trial);true
0008,3001;SQ;Alternate Representation Sequence;false
0008,3010;UI;Irradiation Event UID;false
0008,3011;SQ;Source Irradiation Event Sequence;false
0008,3012;UI;Radiopharmaceutical Administration Event UID;false
0008,4000;LT;Identifying Comments;true
0008,9007;CS;Frame Type;false
0008,9092;SQ;Referenced Image Evidence Sequence;false
0008,9121;SQ;Referenced Raw Data Sequence;false
0008,9123;UI;Creator-Version UID;false
0008,9124;SQ;Derivation Image Sequence;false
0008,9154;SQ;Source Image Evidence Sequence;false
0008,9205;CS;Pixel Presentation;false
0008,9206;CS;Volumetric Properties;false
0008,9207;CS;Volume Based Calculation Technique;false
0008,9208;CS;Complex Image Component;false
0008,9209;CS;Acquisition Contrast;false
0008,9215;SQ;Derivation Code Sequence;false
0008,9237;SQ;Referenced Presentation State Sequence;false
0008,9410;SQ;Referenced Other Plane Sequence;false
0008,9458;SQ;Frame Display Sequence;false
0008,9459;FL;Recommended Display Frame Rate in Float;false
0008,9460;CS;Skip Frame Range Flag;false
0010,0010;PN;Patient's Name;false
0010,0020;LO;Patient ID;false
0010,0021;LO;Issuer of Patient ID;false
0010,0022;CS;Type of Patient ID;false
